name,category,scale,mood,difficulty,description,tags
レストラン,食料,中,にぎやか,2,テーブルセットと厨房。外観をおしゃれにするとハイクラスな街に見える。,内装|飲食|二階建て
屋根付き市場,商業,大,にぎやか,3,大きな屋根の下に市場が広がる構造。雨でも賑わう市場感を演出できる。,屋根|商業|商売
露天商の広場,商業,中,にぎやか,2,テントと布を使った露天商が所狭しと並ぶ広場。色とりどりのカーペットで賑やか感を出す。,カラフル|広場|商業|内装小物|屋台・テント
牢獄・地下牢,施設,中,ダーク,2,鉄格子の独房と取調室。地下に作ると街のダークな一面を演出できる。,地下|暗め|ストーリー|牢獄|鉄
墓地,演出,中,ダーク,2,十字架（看板）を並べた墓地。暗い照明と枯れ木で不気味な空気に。,不気味|夜映え|ストーリー|墓地|看板
幽霊屋敷,住居,大,ダーク,3,廃墟化した洋館。壊れた柵や暗い内装でホラー感を出す。,ホラー|廃墟
処刑台,演出,超小,ダーク,1,木の足場と縄（フェンス）で作った処刑台。街の広場に置くと物語性が生まれる。,地味め|演出|歴史|牢獄
地下の拷問部屋,演出,小,ダーク,3,鉄格子と暗い照明の密室。チェーンや鉄格子で壁を飾って不気味な内装に。,地下|ホラー|暗い|鉄
魔女の小屋,ファンタジー,小,ダーク,2,歪んだ形の小屋。木の根や醸造スタンド・コウモリで魔法使いの家を演出。,不気味|ファンタジー|醸造
廃病院,廃墟,大,ダーク,3,錆びた鉄と壊れた白い壁の廃病院。内部に散乱したベッドや赤いブロックでホラー演出。,廃墟|ホラー|宿泊
骸骨の神殿,演出,大,ダーク,4,白い骨ブロックで作られた不気味な神殿。ネザー系ブロックと合わせると地獄感が出る。,ネザー|ホラー|不気味|ネザー素材|宗教施設|骨ブロック
血染めの砦,演出,大,ダーク,4,赤いコンクリートとネザーレンガで作る不吉な砦。周囲を溶岩で囲むとさらに危険な雰囲気に。,ダーク|ネザー|コンクリート|ネザー素材|レンガ|溶岩|要塞・城壁
呪われた井戸,演出,超小,ダーク,1,黒曜石と暗い石で作った呪いの雰囲気漂う井戸。周囲に枯れ木を配置。,呪い|演出|黒曜石
廃墟の教会,廃墟,大,ダーク,3,崩れた壁と割れたステンドグラス。蔦と苔で長い年月を表現。,廃墟|宗教|ダーク|ガラス|苔・緑化
死の迷宮,演出,超大,ダーク,5,地下に広がる骨や呪いのトラップが仕掛けられた迷宮。脱出できるか挑戦できるマルチ向け施設。,地下|マルチ|トラップ|迷路|骨ブロック
魔法使いの塔,ファンタジー,中,ファンタジー,3,細くて高い塔の頂上に観測所。螺旋階段で登れるようにして謎めいた内装に。,縦長|魔法|内装|塔|階段・はしご
エルフの樹上集落,ファンタジー,大,ファンタジー,4,大木の上に作った家と吊り橋。木を活かした有機的な建築。,樹上|自然|橋
ドワーフの地下要塞,ファンタジー,超大,ファンタジー,5,地下に広がる巨大な空洞と石造りの要塞都市。照明とトロッコレールで生活感を出す。,地下|石造り|トロッコ|要塞・城壁
魔王の城,ファンタジー,超大,ファンタジー,5,黒曜石と暗い石系ブロックで作る不気味な城。周囲を溶岩堀で囲むとさらに邪悪な雰囲気に。,ダーク|城|溶岩|要塞・城壁|黒曜石
精霊の泉,ファンタジー,小,ファンタジー,2,輝く泉と周囲の自然。グロウストーンや海のランタンを水中に沈めて幻想的に発光させる。,幻想的|水|光る|水景|海底|照明
冒険者ギルド,ファンタジー,中,ファンタジー,2,依頼掲示板（看板）と武器展示。二階建てで1階がロビー・2階が宿泊所という構成が定番。,内装|中世|定番|多層構造|宿泊|看板
竜の巣,ファンタジー,超大,ファンタジー,5,岩山をくり抜いた巨大な洞窟に骨や宝物を散乱。ドラゴンが住むスケール感を作る。,洞窟|宝物|地下|骨ブロック
妖精の村,ファンタジー,大,ファンタジー,4,キノコや小さな家が散らばった不思議な村。グロウベリーで内部を照らした洞窟の中に作ると幻想的。,かわいい|洞窟|小さい家|地下|照明
古代神殿,ファンタジー,大,ファンタジー,4,砂漠や密林に埋もれた古代の神殿。サンドストーンや苔石レンガで経年感を表現。,古代|世界観|レンガ|宗教施設|石造り|砂岩|苔・緑化
空中島,ファンタジー,超大,ファンタジー,5,空中に浮かぶ島と建物。エリトラで行き来できる距離に複数作ると世界観が広がる。,空中|浮島|水上
魔法学校,ファンタジー,大,ファンタジー,4,ホグワーツ風の大きな城型学校。塔がいくつもあり内部に教室や図書館を詰め込む。,城|学校|図書|塔
賢者の書庫,ファンタジー,中,ファンタジー,3,本棚が天井まで続く巨大な魔法図書館。エンチャントテーブルと本棚を組み合わせた内装が映える。,内装|本|魔法|エンチャント|内装小物|図書
封印の祭壇,ファンタジー,中,ファンタジー,3,中央に光る祭壇石を置いた儀式の場。周囲に柱と松明を配置して神秘的な雰囲気に。,神秘|儀式|演出|宗教施設|照明
海底の神殿,ファンタジー,大,ファンタジー,4,プリズマリンブロックを活用した本物らしい海底神殿。内部の迷宮構造が探索を楽しくする。,海底|探索|プリズマリン|宗教施設|迷路
時間の塔,ファンタジー,大,ファンタジー,4,時計とギア（歯車）をブロックで再現した謎めいた塔。内部に時間をテーマにした仕掛けを施す。,塔|ユニーク|謎
神社・鳥居,宗教,中,和風,2,赤い鳥居と参道。石灯籠を並べて本殿まで導く設計。,和風|外装映え|シンボル|宗教施設
五重の塔,建造物,大,和風,4,反り屋根を5層重ねた仏塔。緑の釉薬テラコッタで瓦を表現すると本格的。,和風|屋根|テラコッタ|塔
日本庭園,自然,中,和風,3,砂利（砂）と苔（コケ）と松（木）で作る枯山水。石橋と池が完成度を上げる。,和風|庭|静か|橋|苔・緑化
武家屋敷,住居,大,和風,4,高い塀と門に囲まれた侍の邸宅。内部に道場と庭園を設ける。,和風|侍|庭園
茶室,文化,小,和風,2,小さな茶室と露地（アプローチ）。飛び石と竹垣で日本らしさを演出。,和風|静か|竹
番所・関所,施設,中,和風,2,街道の途中に設けた通行証確認所。木の門と見張り台がセット。,和風|歴史|街道
忍者屋敷,住居,中,和風,3,外から見ると普通の家だが内部にからくり仕掛けが満載。隠し部屋や落とし穴を作り込む。,和風|仕掛け|ユニーク|隠し要素
和風の橋,建造物,中,和風,2,赤い欄干の橋を川にかける。アーチ型にすると太鼓橋らしくなる。,和風|橋|水辺
漁村の集落,住居,大,和風,3,海沿いに並ぶ小さな漁師小屋。網（フェンス）や樽を並べて漁村らしく。,和風|海沿い|集落|収納
城下町,建造物,超大,和風,5,お城を中心に広がる町。武家地・商人地・寺社地と区画を分けると本格的。,和風|街づくり|宗教施設
お城,建造物,超大,和風,5,白壁と反り屋根の天守閣。石垣と堀を周囲に作ると完璧な日本の城になる。,和風|城|要塞・城壁
相撲の土俵,娯楽,中,和風,2,砂（砂ブロック）の土俵と屋根。周囲に観客席を配置してマルチで相撲大会ができる。,和風|マルチ|スポーツ
染物工房,産業,小,和風,1,色違いの羊毛をたくさん干して鮮やかな工房。染色台と大釜が主役。,和風|カラフル|牧場
オフィスビル,建造物,大,現代,3,ガラス張りの高層ビル。夜に照明が光ると都会感抜群。,現代|高層|夜映え|ガラス
コンビニ,商業,超小,現代,1,白い外観に明るい照明。棚にアイテムを陳列すると現代の街らしさが出る。,現代|どこにでも
マンション,住居,大,現代,3,横に長い集合住宅。各部屋を作り込んでいくと非常にやりがいのある大型建築。,現代|集合住宅
交差点・信号,地味系,超小,現代,1,道路と信号（赤・黄・緑のブロック）で現代都市の道路を再現。,現代|インフラ|地味め
地下鉄駅,交通,大,現代,4,地下を掘ってレールを敷いた交通機関。ホームと改札を作り込むと没入感抜群。,現代|地下|交通|トロッコ
駐車場,地味系,中,現代,2,白線（白いコンクリ）で区切られた駐車スペース。ミニカーを置くとリアル感が増す。,現代|地味め|インフラ
警察署,施設,中,現代,2,白と黒のブロックで作る現代的な警察署。大きな窓と駐車場がセット。,現代|施設|都市
消防署,施設,中,現代,2,赤いコンクリートで目立つ建物。大きな扉から消防車が出るイメージで設計。,現代|赤い建物|施設|コンクリート
病院,施設,大,現代,3,白いコンクリートとガラスの清潔感ある建物。救急搬入口と駐車場もセットで。,現代|白い建物|施設|ガラス|コンクリート
体育館,スポーツ,大,現代,3,広いフロアとバスケットゴール（フェンス）のある体育館。観覧席もあると本格的。,現代|スポーツ
市役所,施設,大,現代,3,広い階段と柱のある重厚な市役所。正面に噴水や国旗（旗ブロック）を設置。,現代|官庁|旗・バナー|水景|階段・はしご
廃工場,廃墟,大,現代,3,錆びた鉄と崩れた屋根のポストアポカリプス風工場。,廃墟|ダーク
フードコート,商業,中,現代,2,複数の飲食店が並ぶ広い食事スペース。テーブルと椅子を並べた共有席が中央に。,現代|食べ物|にぎやか|商売
屋上庭園のビル,建造物,大,現代,4,普通のオフィスビルだが屋上に緑あふれる庭園を設けた都市の癒しスポット。,現代|緑|ユニーク|庭園
ロケット発射台,建造物,超大,SF,5,巨大なロケットと発射台。SF感あふれる施設で街の未来感を演出。,SF|縦長
宇宙ステーション,建造物,超大,SF,5,空中に浮かぶリング状の宇宙ステーション。ガラスと鉄ブロックで無重力感を演出。,SF|空中|ガラス|水上|鉄
研究施設,施設,中,SF,3,白いコンクリートとガラスの清潔な建物。内部に実験装置やコンピューターを配置。,SF|現代|内装|ガラス|コンクリート|研究
エネルギー発電所,産業,大,SF,4,未来的な大型発電施設。エンドロッドやシーランタンで発光する機械群を表現。,SF|光る|エンド素材|照明
水中都市,建造物,超大,SF,5,海底に広がるガラスドームの都市。実際に水中で生活できる設計。,SF|水中|ガラス|ドーム・円形|海底
ロボット工場,産業,大,SF,4,巨大なロボット（建築）が製造される工場。動くような演出をレッドストーンで仕込む。,SF|レッドストーン
タイムマシン実験室,演出,中,SF,4,時間移動装置をテーマにした実験室。エンドロッドとコンジットで光のエフェクトを出す。,SF|内装|ユニーク|エンド素材|照明|研究
テレポートゲート,演出,中,SF,3,ネザーゲート風のSFゲート。エメラルドブロックと金で作る異次元への門。,SF|ゲート|演出|ネザー素材
廃墟の宇宙船,廃墟,大,SF,4,地面に墜落した宇宙船の廃墟。内部を探索できる構造にすると面白い。,SF|廃墟|探索
ドーム型居住区,建造物,超大,SF,5,巨大なガラスドームの中に未来都市が広がる。外は荒野なのに内部は緑豊かな逆転の発想。,SF|ドーム|ガラス|ドーム・円形
AIコントロールセンター,施設,大,SF,4,壁一面にディスプレイ（地図ブロックや額縁）が並ぶ管制室。ハイテク感抜群の内装。,SF|内装|管制室|額縁
未来の農場,農業,中,SF,3,垂直農法をテーマにした多層式の農場。ガラスの壁越しに作物が育つ様子が見える。,SF|農業|ユニーク|ガラス|多層構造
廃村,廃墟,大,廃墟,3,朽ちた建物が並ぶ誰もいない村。苔と蔦で時間の流れを表現。,廃墟|寂しい|ストーリー|苔・緑化
廃坑,産業,大,廃墟,3,使われなくなった炭鉱跡。崩れた坑道と錆びたトロッコレールが残る。,廃墟|地下|炭鉱|トロッコ|トンネル
廃校,施設,大,廃墟,3,黒板と崩れた机が残る廃墟の学校。植物が侵食している演出がリアル。,廃墟|学校|ダーク
廃駅,交通,中,廃墟,2,使われなくなった駅のホーム。錆びたレールと色あせた看板で寂れた雰囲気を演出。,廃墟|交通|寂しい|トロッコ|看板
廃城,建造物,超大,廃墟,4,半壊した城の廃墟。崩れた壁と苔で覆われた石が長い時間の経過を語る。,廃墟|城|苔・緑化
廃墟の温泉旅館,廃墟,大,廃墟,3,かつては栄えた温泉旅館の廃墟。ひびが入った浴槽と色あせた内装が哀愁を誘う。,廃墟|和風|ストーリー|水景|風呂・温泉
朽ちた桟橋,建造物,中,廃墟,2,海辺に残る崩れかけた木の桟橋。壊れた柵と古い船が物語を語る。,廃墟|海辺|ストーリー|橋
廃教会,宗教,中,廃墟,2,崩れた壁と割れたステンドグラスの廃教会。蔦と苔で覆われた静かな廃墟。,廃墟|宗教|静か|ガラス|宗教施設|苔・緑化
廃工場の煙突,産業,大,廃墟,3,崩れかけた工場に残る巨大な煙突。レンガで作ると雰囲気が出る。,廃墟|煙突|レンガ
砂漠の廃城,廃墟,大,廃墟,4,砂漠に半分埋もれた廃城。砂岩と苔石レンガを混ぜると長年放置された感が出る。,廃墟|砂漠|レンガ|石造り|砂岩|苔・緑化
天文台,文化,大,神秘,4,丸ドーム屋根が特徴。ガラスと石英で神秘感を両立。夜景が特に映える。,ドーム|夜映え|神秘|ガラス|ドーム・円形
水晶洞窟,自然,中,神秘,3,シーランタンと紫のブロックで作る水晶が光る幻想的な洞窟。,洞窟|光る|幻想的|地下|照明
浮遊する神殿,建造物,超大,神秘,5,空中に浮かぶ古代神殿。エンドストーンと紫のブロックで別次元感を演出。,空中|神秘|エンド素材|宗教施設|水上
月光の祭壇,演出,中,神秘,3,夜だけ輝くような演出を施した祭壇。白い石英と月（満月の形にブロックを配置）が特徴。,夜映え|神秘|演出|宗教施設
虹の橋,建造物,大,神秘,3,七色のコンクリートブロックでアーチを描く幻想的な橋。色の並びにこだわろう。,カラフル|橋|幻想的|コンクリート
霧の湖,自然,大,神秘,3,低地に水を張りソウルサンドで霧（泡）を演出した幻想的な湖。,水|霧|幻想的|水景
星の庭園,自然,中,神秘,3,夜に映えるグロウストーンやシーランタンを星に見立てた庭園。,夜映え|庭|光る|庭園|照明
封印された塔,演出,大,神秘,4,鎖（チェーン）で封じられた謎めいた塔。内部に禁断の知識が眠る設定。,謎|神秘|ストーリー|塔
オーロラの神殿,建造物,大,神秘,4,青・緑・紫のステンドグラスでオーロラを表現した幻想的な神殿。,カラフル|光|神秘|ガラス|宗教施設
時の砂漠,自然,超大,神秘,4,何万年も風が吹き続けた砂漠に点在する古代の石柱群。ストーンヘンジ風の配置が神秘的。,砂漠|石柱|幻想的
キノコの家,住居,小,かわいい,2,巨大なキノコブロックをそのまま家にしたメルヘンな住居。ドアと窓を開けると完成。,かわいい|キノコ
お菓子の家,住居,中,かわいい,3,ピンクと白のコンクリートでケーキのような外観に。キャンディー柱も添えて。,かわいい|カラフル|メルヘン|コンクリート
花の城,建造物,大,かわいい,4,外壁に花を大量に植え込んだパステルカラーのお城。春のお姫様が住んでいそう。,かわいい|カラフル|城|花
虹色の橋,建造物,中,かわいい,2,七色のブロックを並べたポップな橋。川や谷にかければ街が一気に明るくなる。,カラフル|橋|かわいい
バルーン屋,商業,超小,かわいい,1,カラフルな羊毛のバルーン（丸いブロック）を浮かせた屋台。お祭り感が出る。,かわいい|お祭り|ドーム・円形|屋台・テント|水上|牧場
人形の家,住居,小,かわいい,2,精巧に作られたドールハウス風の小さな家。内部の家具にまでこだわる。,かわいい|内装
動物カフェ,食料,中,かわいい,3,猫や犬が歩き回るカフェ。ふわふわした内装と動物の絵（旗）が特徴。,かわいい|動物|カフェ|旗・バナー
雲の上のコテージ,住居,小,かわいい,3,y=180以上の高さに浮かぶ白い雲（羊毛）の上の小さなコテージ。天空の城感。,かわいい|空中|幻想的|水上|牧場
桜の神社,宗教,中,かわいい,3,ピンクの葉（桜）の木々に囲まれた小さな神社。春限定の癒しスポット。,かわいい|和風|桜|宗教施設
お花畑の迷宮,娯楽,大,かわいい,3,背の低い花ブロックで作った迷宮。カラフルで上から見ても映える不思議な施設。,かわいい|迷宮|花|迷路
人魚の岩場,演出,中,かわいい,3,海岸の岩に腰かける人魚をイメージした演出スポット。貝殻（素材）と珊瑚で飾る。,かわいい|海|ファンタジー
妖精の輪,自然,超小,かわいい,1,きのこと花を丸く並べたフェアリーリング。夜に光るグロウベリーで演出するとより幻想的。,かわいい|自然|照明|花
犬小屋,地味系,超小,のどか,1,オオカミのためのミニハウス。木材とカーペットで小さく作ってペット感を演出。,動物|かわいい|内装小物|木造
郵便ポスト,地味系,超小,のどか,1,赤いコンクリートと看板で作る小さなポスト。村の入口に置くと生活感が出る。,地味め|村|コンクリート|看板
物干し台,地味系,超小,のどか,1,フェンスと糸で洗濯物を干している風景。カーペットを吊るして布を表現。,生活感|素朴|内装小物
丸太のベンチ,地味系,超小,のどか,1,原木を横に置いただけのシンプルなベンチ。道沿いに配置すると旅人の休憩所に。,地味め|道沿い
風車小屋,農業,中,のどか,3,丘の上に建つ風車。羊毛の羽根をつけて回っているように見せる設計が腕の見せどころ。,風車|丘|木造|牧場
ピクニック広場,娯楽,小,のどか,1,チェック柄のカーペットとケーキを並べた野原のピクニックスポット。花畑の隣に作ると映える。,のどか|かわいい|内装小物|花|農業
吊り橋,建造物,小,のどか,2,渓谷にかかる揺れそうな木の吊り橋。フェンスとハーフブロックで不安定さを演出。,橋|渓谷|冒険
灯台,建造物,中,のどか,3,海岸に建つ白と赤の灯台。最上階にグロウストーンを置いて光らせる。,海辺|シンボル|縦長|塔|照明
露天風呂,娯楽,小,和風,2,岩に囲まれた温泉。水とソウルサンドの泡で湯気を表現できる。,和風|水|癒し|水景|風呂・温泉
地蔵並木,演出,超小,和風,1,石ブロックで作った小さなお地蔵さんを並べた道。赤いカーペットで前掛けを表現。,和風|道沿い|内装小物
甘味処,食料,小,和風,2,畳風の床と低いテーブルで和風の甘味屋。団子や抹茶をアイテムフレームで飾る。,和風|食べ物|内装|額縁
盆栽棚,地味系,超小,和風,1,階段ブロックの上に小さな木を植えた盆栽コーナー。縁側の横に置くと風情が出る。,和風|庭|階段・はしご
武器鍛冶の工房,産業,小,和風,2,かまどと金床が並ぶ刀鍛冶の作業場。火花が散るような溶岩の演出も効果的。,和風|産業|内装|かまど|溶岩|花|鍛冶
祭りの屋台通り,商業,中,和風,2,提灯と屋台が並ぶ夏祭りの通り。ランタンとカラフルな旗で賑やかに。,和風|にぎやか|お祭り|屋台・テント|旗・バナー|照明
移動販売車,商業,超小,にぎやか,1,ハーフブロックとトラップドアで作るフードトラック。看板メニューを掲げて路上で営業。,食べ物|現代|トラップ|看板
噴水広場,地味系,中,にぎやか,2,中央に大きな噴水を配置した広場。水流とシーランタンで夜も映える設計。,広場|水|シンボル|水景|水流|照明
ライブハウス,娯楽,中,にぎやか,3,ステージとスポットライト付きの音楽会場。レッドストーンランプで照明演出。,音楽|内装|レッドストーン|舞台
映画館,娯楽,中,にぎやか,3,大スクリーン（地図ブロック）と階段状の客席。ポップコーンスタンドも忘れずに。,娯楽|内装|現代|階段・はしご
遊園地の入口ゲート,建造物,小,にぎやか,2,カラフルなアーチ型のゲート。旗と看板で華やかな遊園地の入口を表現。,カラフル|遊園地|シンボル|旗・バナー|橋|看板|遊具
ボウリング場,スポーツ,中,にぎやか,3,レーンとピン（防具立て）を並べた室内スポーツ施設。靴棚の内装も凝ると楽しい。,スポーツ|内装|にぎやか|防具立て
サーカステント,娯楽,大,にぎやか,4,赤と白の羊毛で作る大きなテント。内部にステージと客席を配置して空中ブランコも。,テント|カラフル|屋台・テント|牧場|空中|舞台|遊具
蜘蛛の巣の洞窟,演出,小,ダーク,2,蜘蛛の巣ブロックが大量に張られた暗い洞窟。奥に宝箱を置くとダンジョン感が出る。,洞窟|ダーク|ダンジョン|地下
首吊りの木,演出,超小,ダーク,1,枯れ木にフェンスで縄を垂らした不吉なオブジェ。墓地の隅に配置すると物語性が増す。,ダーク|演出|墓地
闇商人の隠れ家,商業,小,ダーク,2,地下に隠された秘密の取引所。隠しドアの奥にチェストと怪しいアイテムが並ぶ。,地下|秘密|商業|収納|隠し要素
吸血鬼の棺,演出,超小,ダーク,1,ダークオークと赤いカーペットで作った棺桶。地下室に置くとホラー感が増す。,ホラー|内装|内装小物|地下|墓地|木造
呪いの人形部屋,演出,小,ダーク,3,壁一面に防具立て（人形）を並べた不気味な部屋。わずかな照明で顔が浮かぶ演出。,ホラー|内装|不気味|水上|防具立て
監視塔,施設,小,ダーク,2,周囲を見張る暗い石造りの塔。松明を最小限にして不穏な空気を出す。,塔|ダーク|縦長|照明|石造り
ネザーの門番小屋,建造物,小,ダーク,2,ネザーレンガと暗黒石で作った門番の詰所。ネザーゲートの横に建てると世界観が引き締まる。,ネザー|ダーク|ネザー素材|レンガ
錬金術師の工房,ファンタジー,小,ファンタジー,2,醸造スタンドと本棚が並ぶ薬師の作業場。天井からポーションの瓶をぶら下げる演出。,魔法|内装|エンチャント|内装小物|図書|醸造
ゴーレムの守護像,演出,超小,ファンタジー,1,鉄ブロックとカボチャで巨大なゴーレム風の像を作る。城門の両脇に配置すると威厳が出る。,像|守護|要塞・城壁|鉄
魔法の井戸,地味系,超小,ファンタジー,1,エンチャントの光をイメージした輝く井戸。エンドロッドと水で不思議な雰囲気に。,魔法|幻想的|エンチャント|エンド素材|照明
グリフォンの巣,ファンタジー,中,ファンタジー,3,山の頂上に作った巨大な鳥の巣。羽根（旗）と卵（エンドストーン）を配置。,山頂|モンスター|演出|エンド素材|旗・バナー
海賊船,建造物,大,ファンタジー,4,ダークオークで作る黒い帆の海賊船。大砲（ディスペンサー）とドクロ旗が必須。,船|海|レッドストーン|旗・バナー|木造
旅の商人のキャラバン,商業,小,ファンタジー,2,ラマとテントとチェストで構成された旅の行商団。砂漠の道中に配置すると世界観が出る。,旅|砂漠|商業|収納|屋台・テント
地下水路,建造物,大,神秘,3,地下を流れる古代の水路。苔石レンガのアーチとわずかな光で神秘的な雰囲気に。,地下|水|古代|レンガ|橋|水流|石造り|苔・緑化
ルーン石碑,演出,超小,神秘,1,古代文字（看板）が刻まれた石碑。森や遺跡の入口に置くと謎めいた雰囲気に。,古代|演出|看板
鏡の間,演出,中,神秘,3,氷ブロックとガラスで壁を作った反射する部屋。松明の光が何重にも映る幻想空間。,内装|氷|幻想的|ガラス|照明
世界樹,自然,超大,神秘,5,天まで届く巨大な樹。幹の中に螺旋階段を作り頂上に神殿を設ける。,自然|神秘|宗教施設|階段・はしご
深淵の祭壇,演出,中,神秘,3,奈落の上に浮かぶ祭壇。鎖で吊るされた構造にすると見た目のインパクト大。,奈落|神秘|演出|宗教施設|水上
月の神殿,建造物,大,神秘,4,白い石英とエンドストーンで作る月をテーマにした神殿。丸いドームが夜空に映える。,夜映え|白い建物|神秘|エンド素材|ドーム・円形|宗教施設
星座の床,演出,小,神秘,2,黒い床にグロウストーンで星座を描いた天文観測室の床。上から見ると星座が浮かぶ。,星|内装|夜映え|水上|照明
崩れたダム,建造物,大,廃墟,3,半壊したダムから水が溢れ出す風景。石レンガと苔で経年劣化を表現。,廃墟|水|レンガ|石造り|苔・緑化
廃遊園地,娯楽,超大,廃墟,4,錆びた観覧車やメリーゴーラウンドが残る廃墟の遊園地。かつての賑わいとの対比が切ない。,廃墟|ストーリー|遊具
廃線のトンネル,交通,中,廃墟,2,山を貫くレールが途切れたトンネル。内部に蔦が侵食して自然に還りかけている。,廃墟|地下|交通|トロッコ|トンネル
沈没船の墓場,演出,大,廃墟,3,何隻もの船が折り重なって沈んでいる海域。水中に潜って探索する楽しみも。,廃墟|海|探索|海底
廃墟のプール,施設,中,廃墟,2,水が抜けて苔が生えた廃プール。飛び込み台だけが残る寂しい風景。,廃墟|スポーツ|寂しい|苔・緑化
錆びた鉄塔,建造物,中,廃墟,2,鉄ブロックとチェーンで作る倒れかけの送電塔。文明崩壊後の世界観に合う。,廃墟|縦長|SF|塔|鉄
ガーデニング小屋,農業,超小,かわいい,1,花に囲まれた小さな園芸小屋。ジョウロ（大釜）と植木鉢をたくさん並べる。,かわいい|花|内装小物
クレープ屋台,食料,超小,かわいい,1,ピンクと白のかわいい屋台。看板にクレープの絵を描いて路上で営業。,かわいい|食べ物|屋台・テント|看板
うさぎの庭,自然,小,かわいい,2,ウサギが跳ね回る花いっぱいの囲い。小さなトンネルや隠れ家を作ってあげる。,かわいい|動物|庭|トンネル|花|隠し要素
星のメリーゴーラウンド,娯楽,中,かわいい,3,金ブロックとグロウストーンで輝く回転遊具。馬の防具立てを乗せてメルヘンに。,かわいい|遊園地|光る|照明|遊具|金|防具立て
ツリーハウス,住居,小,かわいい,2,大きな木の上に作ったはしご付きの秘密基地。窓から見下ろす景色が最高。,かわいい|樹上|秘密基地|階段・はしご|隠し要素
宇宙エレベーター,建造物,超大,SF,5,地上から宇宙まで伸びる超巨大エレベーター。ガラスの筒と光る床で未来感を演出。,SF|縦長|ガラス
ホログラム広告塔,演出,小,SF,2,ガラスと光源で空中にホログラムが浮かんでいるように見せる広告塔。夜の街に映える。,SF|夜映え|演出|ガラス|塔|水上|空中
